areaCodeName,city,degreeName,detail_href,headCount,highMonthPay,jobId,jobName,keyUnits,location,lowMonthPay,publishDate,recId,recName,recProperty,recScale,recTags,sortPriority,updateDate,userType
北京,北京,本科,https://job.ncss.cn/student/jobs/6JigGoauk3GDHJN3oGtqba/detail.html,10,50.0,6JigGoauk3GDHJN3oGtqba,软件开发与创新岗 （云计算方向）,0,北京市西城区北京市西城区金融大街16号,1.0,2020-03-05 17:33,-,中国人寿保险股份有限公司,国有企业,500-999人,,0,2020-03-05 17:33,11
广东,深圳,硕士,https://job.ncss.cn/student/jobs/69aWftJxhEjPcS8R1mhVb3/detail.html,5,14.0,69aWftJxhEjPcS8R1mhVb3,电气管理,0,广东省深圳市深圳市沿河北路2022号,8.0,2020-03-05 17:33,-,广东粤海水务股份有限公司,国有企业,1000-4999人,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/5vbL5i3UZ45H9Bfck7BTDX/detail.html,1,50.0,5vbL5i3UZ45H9Bfck7BTDX,FPGA软件开发工程师,0,北京市昌平区北京市昌平区南邵镇南中路 16 号 1 号产业大厦,1.0,2020-03-05 17:33,-,中电普瑞电力工程有限公司,国有企业,500-999人,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/5Muj1fz6W5MhQkY1CKwoJV/detail.html,2,50.0,5Muj1fz6W5MhQkY1CKwoJV,电力物联网软件研发,0,北京市海淀区北京市海淀区清河小营东路15号,1.0,2020-03-05 17:33,-,北京科东电力控制系统有限责任公司,国有企业,1000-4999人,,0,2020-03-05 17:33,11
北京,北京,硕士,https://job.ncss.cn/student/jobs/5nRVzgkrJYUmhAUVEL6YM6/detail.html,1,50.0,5nRVzgkrJYUmhAUVEL6YM6,嵌入式硬件研发工程师,0,北京市昌平区北京市昌平区南邵镇南中路 16 号 1 号产业大厦,1.0,2020-03-05 17:33,-,中电普瑞电力工程有限公司,国有企业,500-999人,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/6FYTC4rSBe3SY9yCsvnWof/detail.html,30,50.0,6FYTC4rSBe3SY9yCsvnWof,创新业务拓展,0,北京市西城区北京市西城区骡马市大街9号,1.0,2020-03-05 17:33,-,中国联合网络通信有限公司北京市分公司,国有企业,5000以上,,0,2020-03-05 17:33,11
广东,深圳,本科,https://job.ncss.cn/student/jobs/6BFz5bCtbZNnX4NKzJg5HF/detail.html,1,50.0,6BFz5bCtbZNnX4NKzJg5HF,高级社交媒体运营专员（英语）-专业通讯,0,广东省深圳市深圳市南山区西丽平山民企科技园A栋4楼东，韶音科技,1.0,2020-03-05 17:33,-,深圳市韶音科技有限公司,民营企业,1000-4999人,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/5LCgqgYmpQZcNeMwNGVMnZ/detail.html,30,50.0,5LCgqgYmpQZcNeMwNGVMnZ,ETL工程师,0,北京市海淀区北京市海淀区学院南路55号中软大厦D座,1.0,2020-03-05 17:33,-,北京中软融鑫计算机系统工程有限公司,国有企业,500-999人,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/5Dc5Y4ChtZCmDcWxZsbd4C/detail.html,200,15.0,5Dc5Y4ChtZCmDcWxZsbd4C,Java研发工程师,0,福建省福州市福建省福州市闽侯县海西高新科技园高新大道5号博思软件大厦,10.0,2020-03-05 17:33,-,福建博思软件股份有限公司,上市公司,1000-4999人,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/5AnB2y4o4jT6SFndAdsaji/detail.html,5,50.0,5AnB2y4o4jT6SFndAdsaji,系统管理员,0,北京市海淀区北京市海淀区建材城西路65号,1.0,2020-03-05 17:33,-,中邮信息科技(北京)有限公司,国有企业,500-999人,,0,2020-03-05 17:33,11
